filename, language, Properties, YAML, Go, Markdown, Shell Script, Dockerfile, XML, comment, blank, total
.editorconfig, Properties, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
.travis.yml, YAML, 0, 27, 0, 0, 0, 0, 0, 5, 8, 40
.travis/after_success.sh, Shell Script, 0, 0, 0, 0, 5, 0, 0, 1, 3, 9
.travis/script.sh, Shell Script, 0, 0, 0, 0, 12, 0, 0, 5, 4, 21
Changelog.md, Markdown, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
README.md, Markdown, 0, 0, 0, 43, 0, 0, 0, 0, 32, 75
ackhandler/_gen.go, Go, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
ackhandler/ackhandler_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
ackhandler/interfaces.go, Go, 0, 0, 29, 0, 0, 0, 0, 4, 13, 46
ackhandler/packet.go, Go, 0, 0, 49, 0, 0, 0, 0, 3, 7, 59
ackhandler/packet_linkedlist.go, Go, 0, 0, 131, 0, 0, 0, 0, 55, 29, 215
ackhandler/packet_test.go, Go, 0, 0, 44, 0, 0, 0, 0, 0, 8, 52
ackhandler/received_packet_handler.go, Go, 0, 0, 118, 0, 0, 0, 0, 12, 35, 165
ackhandler/received_packet_handler_test.go, Go, 0, 0, 286, 0, 0, 0, 0, 4, 34, 324
ackhandler/received_packet_history.go, Go, 0, 0, 89, 0, 0, 0, 0, 10, 20, 119
ackhandler/received_packet_history_test.go, Go, 0, 0, 219, 0, 0, 0, 0, 0, 30, 249
ackhandler/retransmittable.go, Go, 0, 0, 29, 0, 0, 0, 0, 3, 5, 37
ackhandler/retransmittable_test.go, Go, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
ackhandler/sent_packet_handler.go, Go, 0, 0, 493, 0, 0, 0, 0, 57, 112, 662
ackhandler/sent_packet_handler_test.go, Go, 0, 0, 740, 0, 0, 0, 0, 14, 88, 842
ackhandler/stop_waiting_manager.go, Go, 0, 0, 40, 0, 0, 0, 0, 2, 8, 50
ackhandler/stop_waiting_manager_test.go, Go, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
appveyor.yml, YAML, 0, 28, 0, 0, 0, 0, 0, 0, 8, 36
benchmark/benchmark_suite_test.go, Go, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
benchmark/benchmark_test.go, Go, 0, 0, 72, 0, 0, 0, 0, 6, 10, 88
buffer_pool.go, Go, 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
buffer_pool_test.go, Go, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
client.go, Go, 0, 0, 327, 0, 0, 0, 0, 36, 49, 412
client_test.go, Go, 0, 0, 535, 0, 0, 0, 0, 5, 49, 589
codecov.yml, YAML, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
congestion/bandwidth.go, Go, 0, 0, 13, 0, 0, 0, 0, 4, 6, 23
congestion/bandwidth_test.go, Go, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
congestion/bdw_stats.go, Go, 0, 0, 31, 0, 0, 0, 0, 20, 10, 61
congestion/clock.go, Go, 0, 0, 10, 0, 0, 0, 0, 3, 6, 19
congestion/congestion_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
congestion/cubic.go, Go, 0, 0, 129, 0, 0, 0, 0, 73, 27, 229
congestion/cubic_sender.go, Go, 0, 0, 216, 0, 0, 0, 0, 44, 43, 303
congestion/cubic_sender_test.go, Go, 0, 0, 477, 0, 0, 0, 0, 222, 119, 818
congestion/cubic_test.go, Go, 0, 0, 84, 0, 0, 0, 0, 20, 9, 113
congestion/hybrid_slow_start.go, Go, 0, 0, 66, 0, 0, 0, 0, 31, 15, 112
congestion/hybrid_slow_start_test.go, Go, 0, 0, 53, 0, 0, 0, 0, 8, 15, 76
congestion/interface.go, Go, 0, 0, 27, 0, 0, 0, 0, 4, 8, 39
congestion/olia.go, Go, 0, 0, 73, 0, 0, 0, 0, 7, 13, 93
congestion/olia_sender.go, Go, 0, 0, 276, 0, 0, 0, 0, 43, 51, 370
congestion/prr_sender.go, Go, 0, 0, 40, 0, 0, 0, 0, 16, 8, 64
congestion/prr_sender_test.go, Go, 0, 0, 72, 0, 0, 0, 0, 22, 15, 109
congestion/rtt_stats.go, Go, 0, 0, 131, 0, 0, 0, 0, 35, 30, 196
congestion/rtt_stats_test.go, Go, 0, 0, 163, 0, 0, 0, 0, 22, 30, 215
congestion/stats.go, Go, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
conn.go, Go, 0, 0, 43, 0, 0, 0, 0, 0, 12, 55
conn_test.go, Go, 0, 0, 95, 0, 0, 0, 0, 0, 14, 109
docs/quic.svg, XML, 0, 0, 0, 0, 0, 0, 64, 1, 0, 65
example/Dockerfile, Dockerfile, 0, 0, 0, 0, 0, 6, 0, 0, 4, 10
example/Readme.md, Markdown, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
example/client/main.go, Go, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
example/client_benchmarker/main.go, Go, 0, 0, 116, 0, 0, 0, 0, 36, 29, 181
example/client_benchmarker/main_test.go, Go, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
example/client_benchmarker_cached/main.go, Go, 0, 0, 83, 0, 0, 0, 0, 2, 14, 99
example/client_browse_deptree/main.go, Go, 0, 0, 743, 0, 0, 0, 0, 63, 101, 907
example/client_browse_wprof/browse_test.go, Go, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
example/client_browse_wprof/main.go, Go, 0, 0, 500, 0, 0, 0, 0, 42, 51, 593
example/echo/echo.go, Go, 0, 0, 83, 0, 0, 0, 0, 6, 17, 106
example/main.go, Go, 0, 0, 716, 0, 0, 0, 0, 184, 88, 988
example/reqres/client/reqres.go, Go, 0, 0, 172, 0, 0, 0, 0, 5, 17, 194
example/reqres/reqres.go, Go, 0, 0, 102, 0, 0, 0, 0, 4, 9, 115
example/server_main_test.go, Go, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
h2quic/client.go, Go, 0, 0, 306, 0, 0, 0, 0, 22, 60, 388
h2quic/client_test.go, Go, 0, 0, 490, 0, 0, 0, 0, 6, 70, 566
h2quic/fs_extend.go, Go, 0, 0, 8, 0, 0, 0, 0, 1018, 93, 1119
h2quic/gzipreader.go, Go, 0, 0, 26, 0, 0, 0, 0, 4, 6, 36
h2quic/h2quic_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
h2quic/request.go, Go, 0, 0, 69, 0, 0, 0, 0, 1, 11, 81
h2quic/request_body.go, Go, 0, 0, 20, 0, 0, 0, 0, 2, 8, 30
h2quic/request_body_test.go, Go, 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
h2quic/request_test.go, Go, 0, 0, 107, 0, 0, 0, 0, 0, 15, 122
h2quic/request_writer.go, Go, 0, 0, 175, 0, 0, 0, 0, 40, 27, 242
h2quic/request_writer_test.go, Go, 0, 0, 118, 0, 0, 0, 0, 1, 14, 133
h2quic/response.go, Go, 0, 0, 81, 0, 0, 0, 0, 17, 14, 112
h2quic/response_writer.go, Go, 0, 0, 85, 0, 0, 0, 0, 6, 18, 109
h2quic/response_writer_test.go, Go, 0, 0, 161, 0, 0, 0, 0, 4, 20, 185
h2quic/roundtrip.go, Go, 0, 0, 110, 0, 0, 0, 0, 37, 27, 174
h2quic/roundtrip_test.go, Go, 0, 0, 191, 0, 0, 0, 0, 5, 34, 230
h2quic/server.go, Go, 0, 0, 328, 0, 0, 0, 0, 49, 59, 436
h2quic/server_test.go, Go, 0, 0, 475, 0, 0, 0, 0, 11, 47, 533
integrationtests/chrome/chrome_suite_test.go, Go, 0, 0, 208, 0, 0, 0, 0, 5, 32, 245
integrationtests/chrome/chrome_test.go, Go, 0, 0, 56, 0, 0, 0, 0, 0, 11, 67
integrationtests/gquic/drop_test.go, Go, 0, 0, 117, 0, 0, 0, 0, 0, 21, 138
integrationtests/gquic/gquic_suite_test.go, Go, 0, 0, 35, 0, 0, 0, 0, 0, 11, 46
integrationtests/gquic/integration_test.go, Go, 0, 0, 90, 0, 0, 0, 0, 0, 10, 100
integrationtests/gquic/random_rtt_test.go, Go, 0, 0, 83, 0, 0, 0, 0, 1, 14, 98
integrationtests/gquic/rtt_test.go, Go, 0, 0, 56, 0, 0, 0, 0, 0, 11, 67
integrationtests/gquic/server_test.go, Go, 0, 0, 180, 0, 0, 0, 0, 12, 27, 219
integrationtests/self/client_test.go, Go, 0, 0, 93, 0, 0, 0, 0, 4, 13, 110
integrationtests/self/handshake_rtt_test.go, Go, 0, 0, 123, 0, 0, 0, 0, 11, 19, 153
integrationtests/self/self_suite_test.go, Go, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
integrationtests/tools/proxy/proxy.go, Go, 0, 0, 177, 0, 0, 0, 0, 26, 38, 241
integrationtests/tools/proxy/proxy_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
integrationtests/tools/proxy/proxy_test.go, Go, 0, 0, 287, 0, 0, 0, 0, 26, 42, 355
integrationtests/tools/testlog/testlog.go, Go, 0, 0, 31, 0, 0, 0, 0, 2, 9, 42
integrationtests/tools/testserver/server.go, Go, 0, 0, 91, 0, 0, 0, 0, 3, 17, 111
interface.go, Go, 0, 0, 61, 0, 0, 0, 0, 74, 11, 146
internal/crypto/AEAD.go, Go, 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
internal/crypto/aesgcm12_aead.go, Go, 0, 0, 57, 0, 0, 0, 0, 5, 11, 73
internal/crypto/aesgcm12_aead_test.go, Go, 0, 0, 60, 0, 0, 0, 0, 0, 10, 70
internal/crypto/aesgcm_aead.go, Go, 0, 0, 60, 0, 0, 0, 0, 2, 13, 75
internal/crypto/aesgcm_aead_test.go, Go, 0, 0, 70, 0, 0, 0, 0, 2, 13, 85
internal/crypto/cert_cache.go, Go, 0, 0, 39, 0, 0, 0, 0, 1, 9, 49
internal/crypto/cert_cache_test.go, Go, 0, 0, 45, 0, 0, 0, 0, 0, 7, 52
internal/crypto/cert_chain.go, Go, 0, 0, 83, 0, 0, 0, 0, 11, 20, 114
internal/crypto/cert_chain_test.go, Go, 0, 0, 130, 0, 0, 0, 0, 1, 18, 149
internal/crypto/cert_compression.go, Go, 0, 0, 226, 0, 0, 0, 0, 8, 39, 273
internal/crypto/cert_compression_test.go, Go, 0, 0, 269, 0, 0, 0, 0, 0, 26, 295
internal/crypto/cert_dict.go, Go, 0, 0, 127, 0, 0, 0, 0, 0, 2, 129
internal/crypto/cert_manager.go, Go, 0, 0, 97, 0, 0, 0, 0, 11, 23, 131
internal/crypto/cert_manager_test.go, Go, 0, 0, 295, 0, 0, 0, 0, 9, 45, 349
internal/crypto/cert_sets.go, Go, 0, 0, 18, 0, 0, 0, 0, 1, 6, 25
internal/crypto/chacha20poly1305_aead.go, Go, 0, 0, 48, 0, 0, 0, 0, 3, 11, 62
internal/crypto/chacha20poly1305_aead_test.go, Go, 0, 0, 60, 0, 0, 0, 0, 1, 11, 72
internal/crypto/crypto_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
internal/crypto/curve_25519.go, Go, 0, 0, 35, 0, 0, 0, 0, 3, 8, 46
internal/crypto/curve_25519_test.go, Go, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
internal/crypto/key_derivation.go, Go, 0, 0, 43, 0, 0, 0, 0, 2, 6, 51
internal/crypto/key_derivation_quic_crypto.go, Go, 0, 0, 73, 0, 0, 0, 0, 11, 18, 102
internal/crypto/key_derivation_quic_crypto_test.go, Go, 0, 0, 108, 0, 0, 0, 0, 81, 9, 198
internal/crypto/key_derivation_test.go, Go, 0, 0, 54, 0, 0, 0, 0, 0, 11, 65
internal/crypto/key_exchange.go, Go, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
internal/crypto/null_aead.go, Go, 0, 0, 8, 0, 0, 0, 0, 1, 3, 12
internal/crypto/null_aead_fnv128a.go, Go, 0, 0, 54, 0, 0, 0, 0, 3, 15, 72
internal/crypto/null_aead_fnv128a_test.go, Go, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
internal/crypto/null_aead_fnv64a.go, Go, 0, 0, 38, 0, 0, 0, 0, 2, 11, 51
internal/crypto/null_aead_fnv64a_test.go, Go, 0, 0, 54, 0, 0, 0, 0, 2, 11, 67
internal/crypto/null_aead_test.go, Go, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
internal/crypto/server_proof.go, Go, 0, 0, 52, 0, 0, 0, 0, 4, 11, 67
internal/crypto/server_proof_test.go, Go, 0, 0, 107, 0, 0, 0, 0, 4, 17, 128
internal/crypto/source_address_token.go, Go, 0, 0, 60, 0, 0, 0, 0, 6, 11, 77
internal/crypto/source_address_token_test.go, Go, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
internal/flowcontrol/flow_control_manager.go, Go, 0, 0, 218, 0, 0, 0, 0, 23, 59, 300
internal/flowcontrol/flow_control_manager_test.go, Go, 0, 0, 343, 0, 0, 0, 0, 3, 46, 392
internal/flowcontrol/flow_controller.go, Go, 0, 0, 157, 0, 0, 0, 0, 24, 40, 221
internal/flowcontrol/flow_controller_test.go, Go, 0, 0, 300, 0, 0, 0, 0, 4, 53, 357
internal/flowcontrol/flowcontrol_suite_test.go, Go, 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
internal/flowcontrol/interface.go, Go, 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
internal/handshake/connection_parameters_manager.go, Go, 0, 0, 207, 0, 0, 0, 0, 22, 36, 265
internal/handshake/connection_parameters_manager_test.go, Go, 0, 0, 257, 0, 0, 0, 0, 4, 37, 298
internal/handshake/cookie_generator.go, Go, 0, 0, 78, 0, 0, 0, 0, 11, 13, 102
internal/handshake/cookie_generator_test.go, Go, 0, 0, 91, 0, 0, 0, 0, 7, 14, 112
internal/handshake/crypto_setup_client.go, Go, 0, 0, 541, 0, 0, 0, 0, 21, 104, 666
internal/handshake/crypto_setup_client_test.go, Go, 0, 0, 796, 0, 0, 0, 0, 6, 107, 909
internal/handshake/crypto_setup_server.go, Go, 0, 0, 383, 0, 0, 0, 0, 23, 61, 467
internal/handshake/crypto_setup_server_test.go, Go, 0, 0, 655, 0, 0, 0, 0, 1, 86, 742
internal/handshake/crypto_setup_tls.go, Go, 0, 0, 114, 0, 0, 0, 0, 3, 23, 140
internal/handshake/crypto_setup_tls_test.go, Go, 0, 0, 150, 0, 0, 0, 0, 0, 27, 177
internal/handshake/data_test.go, Go, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
internal/handshake/ephermal_cache.go, Go, 0, 0, 36, 0, 0, 0, 0, 9, 6, 51
internal/handshake/ephermal_cache_test.go, Go, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
internal/handshake/handshake_message.go, Go, 0, 0, 109, 0, 0, 0, 0, 5, 25, 139
internal/handshake/handshake_message_test.go, Go, 0, 0, 63, 0, 0, 0, 0, 0, 9, 72
internal/handshake/handshake_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
internal/handshake/interface.go, Go, 0, 0, 19, 0, 0, 0, 0, 4, 6, 29
internal/handshake/mint_utils.go, Go, 0, 0, 64, 0, 0, 0, 0, 2, 12, 78
internal/handshake/server_config.go, Go, 0, 0, 51, 0, 0, 0, 0, 5, 10, 66
internal/handshake/server_config_client.go, Go, 0, 0, 139, 0, 0, 0, 0, 12, 30, 181
internal/handshake/server_config_client_test.go, Go, 0, 0, 227, 0, 0, 0, 0, 2, 38, 267
internal/handshake/server_config_test.go, Go, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
internal/handshake/tags.go, Go, 0, 0, 44, 0, 0, 0, 0, 44, 10, 98
internal/mocks/cpm.go, Go, 0, 0, 119, 0, 0, 0, 0, 30, 32, 181
internal/mocks/gen.go, Go, 0, 0, 1, 0, 0, 0, 0, 5, 3, 9
internal/mocks/mocks_fc/flow_control_manager.go, Go, 0, 0, 134, 0, 0, 0, 0, 34, 35, 203
internal/protocol/encryption_level.go, Go, 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
internal/protocol/encryption_level_test.go, Go, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
internal/protocol/packet_number.go, Go, 0, 0, 46, 0, 0, 0, 0, 5, 6, 57
internal/protocol/packet_number_test.go, Go, 0, 0, 170, 0, 0, 0, 0, 21, 35, 226
internal/protocol/perspective.go, Go, 0, 0, 6, 0, 0, 0, 0, 2, 3, 11
internal/protocol/protocol.go, Go, 0, 0, 32, 0, 0, 0, 0, 29, 20, 81
internal/protocol/protocol_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
internal/protocol/server_parameters.go, Go, 0, 0, 38, 0, 0, 0, 0, 55, 38, 131
internal/protocol/version.go, Go, 0, 0, 61, 0, 0, 0, 0, 12, 11, 84
internal/protocol/version_test.go, Go, 0, 0, 58, 0, 0, 0, 0, 0, 11, 69
internal/testdata/cert.go, Go, 0, 0, 33, 0, 0, 0, 0, 4, 8, 45
internal/utils/_gen.go, Go, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
internal/utils/atomic_bool.go, Go, 0, 0, 15, 0, 0, 0, 0, 3, 5, 23
internal/utils/atomic_bool_test.go, Go, 0, 0, 23, 0, 0, 0, 0, 0, 7, 30
internal/utils/byteinterval_linkedlist.go, Go, 0, 0, 131, 0, 0, 0, 0, 55, 29, 215
internal/utils/byteoder_big_endian_test.go, Go, 0, 0, 191, 0, 0, 0, 0, 0, 30, 221
internal/utils/byteorder.go, Go, 0, 0, 27, 0, 0, 0, 0, 3, 7, 37
internal/utils/byteorder_big_endian.go, Go, 0, 0, 128, 0, 0, 0, 0, 12, 18, 158
internal/utils/byteorder_little_endian.go, Go, 0, 0, 128, 0, 0, 0, 0, 12, 18, 158
internal/utils/byteorder_little_endian_test.go, Go, 0, 0, 184, 0, 0, 0, 0, 0, 29, 213
internal/utils/byteorder_test.go, Go, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
internal/utils/connection_id.go, Go, 0, 0, 14, 0, 0, 0, 0, 1, 4, 19
internal/utils/connection_id_test.go, Go, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
internal/utils/float16.go, Go, 0, 0, 44, 0, 0, 0, 0, 33, 10, 87
internal/utils/float16_test.go, Go, 0, 0, 139, 0, 0, 0, 0, 16, 7, 162
internal/utils/host.go, Go, 0, 0, 19, 0, 0, 0, 0, 3, 6, 28
internal/utils/host_test.go, Go, 0, 0, 41, 0, 0, 0, 0, 0, 9, 50
internal/utils/log.go, Go, 0, 0, 69, 0, 0, 0, 0, 12, 15, 96
internal/utils/log_test.go, Go, 0, 0, 119, 0, 0, 0, 0, 0, 21, 140
internal/utils/minmax.go, Go, 0, 0, 109, 0, 0, 0, 0, 18, 21, 148
internal/utils/minmax_test.go, Go, 0, 0, 75, 0, 0, 0, 0, 0, 18, 93
internal/utils/packet_interval.go, Go, 0, 0, 6, 0, 0, 0, 0, 2, 3, 11
internal/utils/packetinterval_linkedlist.go, Go, 0, 0, 131, 0, 0, 0, 0, 55, 29, 215
internal/utils/streamframe_interval.go, Go, 0, 0, 6, 0, 0, 0, 0, 2, 3, 11
internal/utils/timer.go, Go, 0, 0, 27, 0, 0, 0, 0, 8, 9, 44
internal/utils/timer_test.go, Go, 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
internal/utils/utils_suite_test.go, Go, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
